turma,periodo,professor,horario,vagas_ocupadas,total_vagas,local,cod_disciplina,cod_unico_disciplina,cod_depto,nome_disciplina
02,2022.2,ANTONIO MARCOS MOREIRA DA SILVA (60h),35M34,12,35,ICC AT 104,LET0056,1265.0,574,CIVILIZACAO DE EXPRESSAO FRANCESA
01,2022.2,FERNANDA ALENCAR PEREIRA (60h),35M12,38,40,ICC AT 086,LET0058,1266.0,574,CULTURA E INSTITUICOES BRITANICAS
02,2022.2,MYLLENA RIBEIRO LACERDA (60h),35T45,20,24,,LET0058,1266.0,574,CULTURA E INSTITUICOES BRITANICAS
01,2022.2,FERNANDA ALENCAR PEREIRA (60h),35M5  35T1,38,31,BSA S BT 19/13,LET0064,1267.0,574,CULTURA E INSTITUICOES NORTE AMERICANAS
02,2022.2,PEDRO HENRIQUE CHAVES REIS (60h),3T2345,23,24,ICC AT 114/18,LET0064,1267.0,574,CULTURA E INSTITUICOES NORTE AMERICANAS
01,2022.2,JULIO CESAR NEVES MONTEIRO (30h),3N12,18,30,ICC B1 242,LET0071,1268.0,574,LEITURA CRÍTICA DE TEXTOS PARA TRADUÇÃO
02,2022.2,BRUNO CARLUCCI (30h),2M5  2T1,21,24,BSA S B2 18/9,LET0071,1268.0,574,LEITURA CRÍTICA DE TEXTOS PARA TRADUÇÃO
01,2022.2,KAORU TANAKA DE LIRA FERREIRA (60h),24N34,23,33,ICC BT 012/62,LET0072,1269.0,574,PRATICA DO JAPONES ORAL E ESCRITO 1
01,2022.2,FAUSTO PINHEIRO PEREIRA (60h),35N34,23,33,ICC AT 082,LET0073,1270.0,574,JAPONES 1
01,2022.2,FAUSTO PINHEIRO PEREIRA (60h),35N12,20,33,ICC AT 082,LET0074,1271.0,574,JAPONES 2
01,2022.2,Joshua Ferreira Sabino (60h),24N12,19,33,ICC AT 082,LET0075,1272.0,574,PRATICA DO JAPONES ORAL E ESCRITO 2
01,2022.2,PEDRO PAULO NUNES DA SILVA (60h),35M34,13,25,BSA S B2 18/9,LET0084,1273.0,574,LÍNGUA INGLESA 1
01,2022.2,PEDRO PAULO NUNES DA SILVA (60h),35M12,25,25,BSA S B2 18/9,LET0085,1274.0,574,LÍNGUA INGLESA 2
02,2022.2,PEDRO PAULO NUNES DA SILVA (60h),24M34,26,28,presencial,LET0086,1275.0,574,LINGUA INGLESA 3
01,2022.2,YASMIN GOMES DE ARAUJO (60h),24M12,16,25,BSA S B2 19/9,LET0087,1276.0,574,LINGUA INGLESA 4
01,2022.2,YASMIN GOMES DE ARAUJO (60h),24M34,6,25,ICC AT 086,LET0088,1277.0,574,LINGUA INGLESA 5
01,2022.2,JOSELY BOGO MACHADO SONCELLA (60h),35T23,11,20,PJC BT 132,LET0093,1278.0,574,ESTAGIO SUPERVISIONADO DE FRANCES 1
01,2022.2,JOSELY BOGO MACHADO SONCELLA (60h),35T45,9,18,ICC AT 114/18,LET0096,1279.0,574,ESTAGIO SUPERVISIONADO DE FRANCES 2
01,2022.2,BERND RENNER (60h),24M12,23,25,BSA S B1 34/13,LET0101,1280.0,574,LÍNGUA ALEMÃ 1
02,2022.2,ADRIANA FERNANDES BARBOSA (60h),24T23,26,26,Local à definir,LET0101,1280.0,574,LÍNGUA ALEMÃ 1
03,2022.2,ADRIANA FERNANDES BARBOSA (60h),24N12,22,25,a definir,LET0101,1280.0,574,LÍNGUA ALEMÃ 1
01,2022.2,ADRIANA FERNANDES BARBOSA (60h),35M34,12,25,BSA S BT 47/10,LET0102,1281.0,574,LINGUA ALEMA 2
02,2022.2,CLARA ISABELL LE BLANC (60h),35T45,6,25,a definir,LET0102,1281.0,574,LINGUA ALEMA 2
01,2022.2,CLARA ISABELL LE BLANC (60h),35T23,5,25,a definir,LET0103,1282.0,574,LINGUA ALEMA 3
01,2022.2,Joshua Ferreira Sabino (60h),35N34,16,20,ICC AT- 163/8,LET0106,1283.0,574,LINGUA JAPONESA 1
01,2022.2,Joshua Ferreira Sabino (60h),24N34,5,20,ICC B1 254,LET0107,1284.0,574,LÍNGUA JAPONESA 2
01,2022.2,ECLAIR ANTONIO ALMEIDA FILHO (45h),2M345,7,20,ICC AT 133/7,LET0111,1285.0,574,TRADUCAO COMENTADA
01,2022.2,JEAN CLAUDE LUCIEN MIROIR (60h),24T45,10,56,BSA S BT 11/13,LET0115,1286.0,574,PRATICA DE TRADUCAO PORTUGUES/FRANCES | TEXTOS GERAIS
01,2022.2,CESARIO ALVIM PEREIRA FILHO (60h),24M12,33,42,ICC AT 086,LET0118,1287.0,574,LÍNGUA ESPANHOLA 1
03,2022.2,(60h),35T45,29,30,,LET0118,1287.0,574,LÍNGUA ESPANHOLA 1
06,2022.2,MARCELLE FERREIRA LEAL (60h),35N12,28,30,ICC AT 114/18,LET0118,1287.0,574,LÍNGUA ESPANHOLA 1
07,2022.2,MARCELLE FERREIRA LEAL (60h),24N12,25,30,BSA S B2 47/13,LET0118,1287.0,574,LÍNGUA ESPANHOLA 1
02,2022.2,MARCELLE FERREIRA LEAL (60h),24N34,7,30,BSA S BT 26/10,LET0120,1288.0,574,LÍNGUA ESPANHOLA 2
03,2022.2,MARCELLE FERREIRA LEAL (60h),24T45,20,30,ICC AT 086,LET0120,1288.0,574,LÍNGUA ESPANHOLA 2
04,2022.2,CESARIO ALVIM PEREIRA FILHO (60h),35M12,24,30,a definir,LET0120,1288.0,574,LÍNGUA ESPANHOLA 2
01,2022.2,HELENA SANTIAGO VIGATA (60h),24M5  24T1,13,30,PJC BT 085,LET0122,1289.0,574,LÍNGUA ESPANHOLA 3
01,2022.2,SUSANA MARTINEZ MARTINEZ (60h),24M12,20,30,PJC BT 085,LET0124,1290.0,574,LÍNGUA ESPANHOLA 4
01,2022.2,MARIA DEL MAR PARAMOS CEBEY (10h),24M34,14,30,a definir,LET0125,1291.0,574,LÍNGUA ESPANHOLA 5
01,2022.2,HELENA SANTIAGO VIGATA (25h),24M34,14,30,a definir,LET0125,1291.0,574,LÍNGUA ESPANHOLA 5
01,2022.2,CESARIO ALVIM PEREIRA FILHO (25h),24M34,14,30,a definir,LET0125,1291.0,574,LÍNGUA ESPANHOLA 5
01,2022.2,SUSANA MARTINEZ MARTINEZ (60h),24M34,19,25,A ASSIGNAR,LET0126,1292.0,574,LÍNGUA ESPANHOLA 6
01,2022.2,MARCELO CORDEIRO DE MELLO (60h),35T23,8,36,BSA S B2 26/17,LET0130,1293.0,574,PRATICA DE TRADUCAO PORTUGUES-FRANCES : TEXTOS JURIDICOS
01,2022.2,MARCELO CORDEIRO DE MELLO (60h),35M34,10,36,ICC AT 086,LET0134,1294.0,574,PRATICA DE TRADUCAO PORTUGUES-FRANCES : TEXTOS ECONOMICOS
01,2022.2,MARCELO CORDEIRO DE MELLO (60h),24M34,8,35,ICC AT 158/19,LET0138,1295.0,574,PRATICA DE TRADUCAO PORTUGUES-FRANCES : TEXTOS TECNICOS E CIENTIFICOS
01,2022.2,ANA HELENA ROSSI (60h),35M34,6,35,ICC AT- 144/8,LET0142,1296.0,574,PRATICA DE TRADUCAO PORTUGUES-FRANCES : TEXTOS LITERARIOS
01,2022.2,PEDRO PAULO NUNES DA SILVA (60h),7T2345,74,76,BSA S A2 16/37,LET0162,1297.0,574,INGLÊS INSTRUMENTAL 2
02,2022.2,NYCOLE CARDIA PEREIRA (60h),24M5  24T1,20,21,BSA S B2 26/17,LET0162,1297.0,574,INGLÊS INSTRUMENTAL 2
01,2022.2,SULAMITA BOMFIM ALMENDRA (60h),5T2345,9,30,PAT AT 156,LET0165,1298.0,574,LÍNGUA ESPANHOLA 7
01,2022.2,ALESSANDRA RAMOS DE OLIVEIRA HARDEN (20h),35M34,24,25,ICC AT- 151/8,LET0174,1299.0,574,PRÁTICA DE TRADUÇÃO INGLES/PORTUGUES: TEXTOS GERAIS
01,2022.2,CRISTIANE ROSCOE BESSA (20h),35M34,24,25,ICC AT- 151/8,LET0174,1299.0,574,PRÁTICA DE TRADUÇÃO INGLES/PORTUGUES: TEXTOS GERAIS
01,2022.2,FLAVIA CRISTINA CRUZ LAMBERTI (20h),35M34,24,25,ICC AT- 151/8,LET0174,1299.0,574,PRÁTICA DE TRADUÇÃO INGLES/PORTUGUES: TEXTOS GERAIS
01,2022.2,ALESSANDRA RAMOS DE OLIVEIRA HARDEN (60h),24M34,10,24,ICC AT 144/9,LET0178,1300.0,574,PRATICA DE TRADUCAO INGLES/PORTUGUES : TEXTOS JURIDICOS
01,2022.2,FLAVIA CRISTINA CRUZ LAMBERTI (60h),6M1234,16,24,ICC AT 144/9,LET0182,1301.0,574,PRATICA DE TRADUCAO INGLES/PORTUGUES : TEXTOS ECONOMICOS
01,2022.2,CRISTIANE ROSCOE BESSA (60h),2M1234,22,24,ICC BT 016/62,LET0186,1302.0,574,PRÁTICA DE TRADUÇÃO INGLES/PORTUGUES: TEXTOS TÉCNICOS E CIENTÍFICOS
01,2022.2,CAROLINA PEREIRA BARCELLOS (60h),4T2345,23,24,ICC AT 164,LET0190,1303.0,574,PRATICA DE TRADUCAO INGLES/PORTUGUES : TEXTOS LITERARIOS
01,2022.2,ELISA DUARTE TEIXEIRA (60h),24T23,20,24,ICC AT- 144/8,LET0194,1304.0,574,PRATICA DE TRADUCAO PORTUGUES/INGLES : TEXTOS GERAIS
01,2022.2,NORMA DIANA HAMILTON (60h),6T2345,13,24,BSA S B2 33/9,LET0198,1305.0,574,PRATICA DE TRADUCAO PORTUGUES/INGLES : TEXTOS JURIDICOS
01,2022.2,FLAVIA CRISTINA CRUZ LAMBERTI (60h),35M12,22,24,ICC AT 082,LET0202,1306.0,574,PRATICA DE TRADUCAO PORTUGUES/INGLES : TEXTOS ECONOMICOS
01,2022.2,ELISA DUARTE TEIXEIRA (60h),24T45,15,24,ICC BT 012/63,LET0206,1307.0,574,PRATICA DE TRADUCAO PORTUGUES/INGLES : TEXTOS TECNICOS E CIENTIFICOS
01,2022.2,NORMA DIANA HAMILTON (60h),35M34,20,24,ICC AT 114/18,LET0210,1308.0,574,PRATICA DE TRADUCAO PORTUGUES/INGLES : TEXTOS LITERARIOS
01,2022.2,ECLAIR ANTONIO ALMEIDA FILHO (60h),35M34,10,35,ICC BT 192,LET0214,1309.0,574,PRATICA DE TRADUCAO FRANCES/PORTUGUES : TEXTOS GERAIS
01,2022.2,NATALIA OASIS DE OLIVEIRA (60h),24T23,7,35,BSA S B2 26/17,LET0218,1310.0,574,PRATICA DE TRADUCAO FRANCES/PORTUGUES : TEXTOS JURIDICOS
01,2022.2,MARCOS ARAUJO BAGNO (60h),24M34,6,36,BSA S B2 26/17,LET0222,1311.0,574,PRATICA DE TRADUCAO FRANCES/PORTUGUES : TEXTOS ECONOMICOS
01,2022.2,MARCOS ARAUJO BAGNO (60h),35M34,4,36,BSA S B2 26/17,LET0226,1312.0,574,PRATICA DE TRADUCAO FRANCES/PORTUGUES : TEXTOS TECNICOS E CIENTIFICOS
01,2022.2,GERMANA HENRIQUES PEREIRA (60h),4T2345,5,35,BSA S BT 11/10,LET0230,1313.0,574,PRATICA DE TRADUCAO FRANCES/PORTUGUES : TEXTOS LITERARIOS
01,2022.2,CRISTIANE ROSCOE BESSA (90h),6M12345  6T1,13,24,,LET0234,1314.0,574,ESTAGIO SUPERVISIONADO DE TRADUCAO-INGLES
01,2022.2,NATALIA OASIS DE OLIVEIRA (90h),7M12345  7T1,5,20,,LET0236,1315.0,574,ESTAGIO SUPERVISIONADO DE TRADUCAO-FRANCES
01,2022.2,CAROLINA QUEIROZ ANDRADE (60h),46T23,1,2,a definir,LET0239,1316.0,574,PORTUGUÊS PARA ESTRANGEIROS 1
02,2022.2,CHRISTIANE MOISES (60h),24M5  24T1,2,2,ICC AT 082,LET0239,1316.0,574,PORTUGUÊS PARA ESTRANGEIROS 1
01,2022.2,CHRISTIANE MOISES (60h),24T23,0,2,a definir,LET0242,1317.0,574,PORTUGUÊS PARA ESTRANGEIROS 2
02,2022.2,CAROLINA QUEIROZ ANDRADE (60h),46T45,0,2,a definir,LET0242,1317.0,574,PORTUGUÊS PARA ESTRANGEIROS 2
01,2022.2,ALESSANDRA MATIAS QUERIDO (60h),24M12,13,30,BSA S B1 19/10,LET0245,1318.0,574,INGLES: EXPRESSAO ORAL 1
02,2022.2,YASMIN GOMES DE ARAUJO (60h),35M12,5,5,ICC AT 133/7,LET0245,1318.0,574,INGLES: EXPRESSAO ORAL 1
01,2022.2,YASMIN GOMES DE ARAUJO (60h),35M34,5,5,ICC AT 133/7,LET0247,1319.0,574,INGLES: EXPRESSAO ORAL 2
02,2022.2,THIAGO BLANCH PIRES (60h),24M34,12,30,ICC AT 114/18,LET0247,1319.0,574,INGLES: EXPRESSAO ORAL 2
02,2022.2,NYCOLE CARDIA PEREIRA (60h),7T2345,5,7,BSAS B2 16/9,LET0249,1320.0,574,INGLES: EXPRESSAO ORAL 3
01,2022.2,ALESSANDRA MATIAS QUERIDO (60h),24T23,24,37,ICC AT 127/7,LET0252,1321.0,574,INGLÊS: COMPREENSÃO DE TEXTOS ESCRITOS 1
02,2022.2,MYLLENA RIBEIRO LACERDA (60h),35T23,19,24,ICC AT- 092,LET0252,1321.0,574,INGLÊS: COMPREENSÃO DE TEXTOS ESCRITOS 1
01,2022.2,BRUNO CARLUCCI (30h),4M5  4T1,17,22,BSA S B2 18/9,LET0254,1322.0,574,INGLÊS: COMPREENSÃO DE TEXTOS ESCRITOS 2
02,2022.2,CAROLINA PEREIRA BARCELLOS (60h),24M5  24T1,16,24,BSA S B2 19/9,LET0256,1323.0,574,INGLES: EXPRESSAO ESCRITA 3
03,2022.2,FERNANDA ALENCAR PEREIRA (60h),35M34,23,25,BSA S B2 19/9,LET0256,1323.0,574,INGLES: EXPRESSAO ESCRITA 3
01,2022.2,BRUNO CARLUCCI (60h),6M1234,19,20,BSA S B1 41/10,LET0257,1324.0,574,INGLES: EXPRESSAO ESCRITA 4
01,2022.2,DANIELLE SOUSA FORRESTER (60h),67T23,4,5,BSA S B1 26/13,LET0260,1325.0,574,INGLES: EXPRESSAO ESCRITA 2
02,2022.2,THIAGO BLANCH PIRES (60h),35T23,32,35,BSA S B1 54/10,LET0260,1325.0,574,INGLES: EXPRESSAO ESCRITA 2
03,2022.2,MYLLENA RIBEIRO LACERDA (60h),24T23,10,24,ICC AT 133/7,LET0260,1325.0,574,INGLES: EXPRESSAO ESCRITA 2
02,2022.2,VIRGILIO PEREIRA DE ALMEIDA (60h),35M34,31,35,PJC BT 069,LET0262,1326.0,574,INGLES: EXPRESSAO ESCRITA 1
03,2022.2,MYLLENA RIBEIRO LACERDA (60h),24T45,15,24,BSA S B2 19/9,LET0262,1326.0,574,INGLES: EXPRESSAO ESCRITA 1
04,2022.2,THAIS STEPHANNIE FREITAS SILVA (60h),67T12,4,4,presencial,LET0262,1326.0,574,INGLES: EXPRESSAO ESCRITA 1
01,2022.2,RACHEL LOURENCO CORREA (60h),24T45,7,11,BSAS B2 16/9,LET0263,1327.0,574,METODOLOGIA DO ENSINO DE LINGUA ESTRANGEIRA MODERNA
01,2022.2,MARIANA ROSA MASTRELLA (60h),3M1234,3,7,,LET0264,1328.0,574,ESTAGIO SUPERVISIONADO EM INGLES
01,2022.2,MARCELO CORDEIRO DE MELLO (60h),24T23,4,20,ICC B1 254,LET0290,1329.0,574,FRANCES-TRADUCAO DE TEXTOS ATIPICOS
01,2022.2,NATALIA OASIS DE OLIVEIRA (60h),35M12,7,36,ICC AT 164,LET0293,1330.0,574,ANALISE CRITICA DE TRADUCOES FRANCES
01,2022.2,JANAINA SOARES DE OLIVEIRA ALVES (90h),35N34 6N12,10,32,ICC AT- 144/8,LET0305,1331.0,574,TEORIA E PRÁTICA DO ESPANHOL ORAL E ESCRITO 1
02,2022.2,ADRIANA DE JESUS PEREIRA (90h),35N34 6N12,36,41,BSA S B2 54/13,LET0305,1331.0,574,TEORIA E PRÁTICA DO ESPANHOL ORAL E ESCRITO 1
01,2022.2,ARYEL CARVALHO TUPY (60h),7M34  6N1234,4,30,ICC B1 242,LET0306,1332.0,574,TEORIA E PRÁTICA DO ESPANHOL ORAL E ESCRITO 2
02,2022.2,(90h),35N34 6N12,18,30,BSA S B1 26/10,LET0306,1332.0,574,TEORIA E PRÁTICA DO ESPANHOL ORAL E ESCRITO 2
01,2022.2,GABRIELE CUNHA GUALBERTO VERAS (60h),2N1234,12,30,ICC AT 144/9,LET0307,1333.0,574,CIVILIZAÇÃO ESPANHOLA
02,2022.2,MARIA CAROLINA CALVO CAPILLA (60h),24N34,27,31,BSA S B1 19/10,LET0307,1333.0,574,CIVILIZAÇÃO ESPANHOLA
01,2022.2,VIRGINIA ANDREA GARRIDO MEIRELLES (60h),24M12,22,25,BSA S B2 33/9,LET0310,1334.0,574,HISTORIA DA LINGUA INGLESA
01,2022.2,ABDELHAK RAZKY (60h),35M34,23,26,Módulo 5 Laboratório 5,LET0311,1335.0,574,FONETICA E FONOLOGIA DO INGLES
01,2022.2,CLAUDIO CORREA E CASTRO GONCALVES (60h),35T23,29,31,BSA S B2 18/9,LET0312,1336.0,574,INTRODUÇÃO À MORFOSSINTAXE DO INGLÊS
02,2022.2,VIRGILIO PEREIRA DE ALMEIDA (60h),35M12,28,34,PJC BT 116,LET0312,1336.0,574,INTRODUÇÃO À MORFOSSINTAXE DO INGLÊS
01,2022.2,LIVIA MIRANDA DE PAULO (60h),24M34,15,30,ICC AT 127/7,LET0315,1337.0,574,HISTORIA DA LINGUA FRANCESA
01,2022.2,ADRIANA SANTOS CORREA (60h),24M12,14,26,BSA S B2 18/9,LET0317,1338.0,574,FONETICA E FONOLOGIA DO FRANCES
01,2022.2,CLAUDINE MARIE JEANNE FRANCHON CABRERA ORDONEZ (60h),24T23,16,30,BSA S BT 54/13,LET0320,1339.0,574,MORFOSSINTAXE DO FRANCES
01,2022.2,MARIA DEL CARMEN DE LA TORRE ARANDA (60h),35M12,22,30,ICC AT 118/7,LET0322,1340.0,574,ANALISE E PRODUCAO DE TEXTOS EM FRANCES
01,2022.2,ADRIANA SANTOS CORREA (90h),246M34,13,15,2M34(BSASA116/22)4M34(ICCAT163/8)6M34(BSASB154/10),LET0323,1341.0,574,PRATICA DO FRANCES ORAL E ESCRITO 4
02,2022.2,MARCOS DE CAMPOS CARNEIRO (90h),356M34,9,30,,LET0323,1341.0,574,PRATICA DO FRANCES ORAL E ESCRITO 4
01,2022.2,CLAUDINE MARIE JEANNE FRANCHON CABRERA ORDONEZ (90h),246T45,13,14,BSA S B1 47/10,LET0324,1342.0,574,PRÁTICA DO FRANCÊS ORAL E ESCRITO 3
02,2022.2,CLARISSA PRADO MARINI (60h),246M34,28,33,ICC AT 121/7,LET0324,1342.0,574,PRÁTICA DO FRANCÊS ORAL E ESCRITO 3
01,2022.2,CLARISSA PRADO MARINI (90h),246M12,29,33,ICC AT 114/18,LET0325,1343.0,574,PRÁTICA DO FRANCÊS ORAL E ESCRITO 2
02,2022.2,JORGE EDUARDO ROCHA MORAIS (90h),246T23,12,30,ICC AT 121/7,LET0325,1343.0,574,PRÁTICA DO FRANCÊS ORAL E ESCRITO 2
01,2022.2,LIVIA MIRANDA DE PAULO (90h),246T23,20,24,BSA S B2 19/9,LET0326,1344.0,574,PRATICA DO FRANCES ORAL E ESCRITO 1
02,2022.2,DENISE GISELE DE BRITTO DAMASCO (90h),246M34,7,29,BSA S B2 18/9,LET0326,1344.0,574,PRATICA DO FRANCES ORAL E ESCRITO 1
03,2022.2,CHARLES ROCHA TEIXEIRA (90h),246M34,26,36,ICC AT- 169/8,LET0326,1344.0,574,PRATICA DO FRANCES ORAL E ESCRITO 1
01,2022.2,MARINEY PEREIRA CONCEICAO (60h),7M1234,73,90,BSA S A1 16/22,LET0331,1345.0,574,INGLÊS INSTRUMENTAL 1
02,2022.2,MARINEY PEREIRA CONCEICAO (60h),7M1234,71,75,BSA S A2 16/37,LET0331,1345.0,574,INGLÊS INSTRUMENTAL 1
03,2022.2,MARINEY PEREIRA CONCEICAO (60h),7T2345,72,75,BSA S A1 16/22,LET0331,1345.0,574,INGLÊS INSTRUMENTAL 1
04,2022.2,MARINEY PEREIRA CONCEICAO (60h),6M1234,71,75,BSA S A2 16/22,LET0331,1345.0,574,INGLÊS INSTRUMENTAL 1
05,2022.2,MARINEY PEREIRA CONCEICAO (60h),6T2345,74,75,ICC ANF. 5,LET0331,1345.0,574,INGLÊS INSTRUMENTAL 1
01,2022.2,ALESSANDRA MATIAS QUERIDO (60h),24T45,29,31,ICC AT 169/8,LET0334,1346.0,574,INGLÊS: COMPREENSÃO DA LÍNGUA ORAL 1
01,2022.2,ANDREINA DI VITTORI (60h),24T23,21,30,Local à definir.,LET0337,1347.0,574,LINGUA ITALIANA 1
02,2022.2,ANDREINA DI VITTORI (60h),35M34,27,32,Local à definir.,LET0337,1347.0,574,LINGUA ITALIANA 1
01,2022.2,ANDREINA DI VITTORI (60h),35T23,12,30,Local à definir.,LET0338,1348.0,574,LINGUA ITALIANA 2
01,2022.2,LUCIE JOSEPHE DE LANNOY (60h),6N1234,11,30,ICC B1 251,LET0340,1349.0,574,CIVILIZACAO HISPANO-AMERICANA
02,2022.2,JUAN PEDRO ROJAS (60h),24N12,16,30,BSA S BT 26/10,LET0340,1349.0,574,CIVILIZACAO HISPANO-AMERICANA
01,2022.2,MARIA CAROLINA CALVO CAPILLA (60h),24N12,23,30,BSA S BT 34/10,LET0344,1350.0,574,HISTORIA DA LINGUA ESPANHOLA
01,2022.2,ANTONIO LUIZ DA SILVA JUNIOR (60h),24N34,15,30,MÓDULO 5 SALA 2 / PJC BT 044,LET0345,1351.0,574,GRAMATICA COMPARADA ESPANHOL-PORTUGUES
01,2022.2,MONIQUE LEITE ARAUJO (60h),24N34,15,30,BSA S B1 26/10,LET0346,1352.0,574,ESPANHOL PENINSULAR E ESPANHOL DE AMERICA
01,2022.2,SABRINA LIMA DE SOUZA CERQUEIRA (60h),24N12,28,32,PJC BT 124,LET0347,1353.0,574,USOS ESPECIALIZADOS DO ESPANHOL
01,2022.2,ANTONIO LUIZ DA SILVA JUNIOR (90h),35N34 6N12,7,30,MÓDULO 5 SALA 2 / ICC AT- 151/8,LET0348,1354.0,574,TEORIA E PRÁTICA DO ESPANHOL ORAL E ESCRITO 3
02,2022.2,CESARIO ALVIM PEREIRA FILHO (10h),5N34 6N1234,21,30,ICC AT 144/9,LET0348,1354.0,574,TEORIA E PRÁTICA DO ESPANHOL ORAL E ESCRITO 3
02,2022.2,MARIA DEL MAR PARAMOS CEBEY (90h),5N34 6N1234,21,30,ICC AT 144/9,LET0348,1354.0,574,TEORIA E PRÁTICA DO ESPANHOL ORAL E ESCRITO 3
01,2022.2,JUAN PEDRO ROJAS (60h),24N34,22,30,PJC BT 061,LET0351,1355.0,574,METODOLOGIAS DE ANALISES DE TEXTOS EM ESPANHOL
01,2022.2,ANTONIO LUIZ DA SILVA JUNIOR (60h),35N12,25,30,BSA S BT 26/10,LET0355,1356.0,574,METODOS DE ENSINO DO ESPANHOL COMO SEGUNDA LÍNGUA
01,2022.2,YAMILKA RABASA FERNANDEZ (60h),24N12,27,30,PJC BT 125,LET0356,1357.0,574,GRAMATICA DA LINGUA ESPANHOLA
01,2022.2,KIMIKO UCHIGASAKI PINHEIRO (60h),35N34,12,35,ICC BT 012/62,LET0360,1358.0,574,JAPONES 3
01,2022.2,KAORU TANAKA DE LIRA FERREIRA (60h),24N12,12,35,ICC BT 012/62,LET0361,1359.0,574,PRATICA DO JAPONES ORAL E ESCRITO 3
01,2022.2,ANGELICA LOUISE DE SOUZA ALENCAR (60h),35N12,10,28,ICC AT- 157/8,LET0362,1360.0,574,SOCIEDADE JAPONESA CONTEMPORANEA
01,2022.2,ALICE TAMIE JOKO (60h),24N12,10,28,ICC AT 098,LET0363,1361.0,574,JAPONES 4
01,2022.2,Joshua Ferreira Sabino (60h),35N12,13,25,ICC AT- 163/8,LET0364,1362.0,574,JAPONES 5
01,2022.2,KYOKO SEKINO (60h),24N34,10,28,ICC AT- 092,LET0365,1363.0,574,PRATICA DO JAPONES ORAL E ESCRITO 4
01,2022.2,KYOKO SEKINO (60h),24N12,11,25,ICC AT 092,LET0366,1364.0,574,JAPONES 6
01,2022.2,ALICE TAMIE JOKO (60h),35N12,9,28,ICC AT 144/9,LET0367,1365.0,574,JAPONES 7
01,2022.2,ANGELICA LOUISE DE SOUZA ALENCAR (60h),24N34,16,25,ICC AT 114/7,LET0368,1366.0,574,METODOLOGIA DE ENSINO DE LÍNGUA JAPONESA
01,2022.2,KIMIKO UCHIGASAKI PINHEIRO (60h),35N12,8,28,ICC AT- 151/8,LET0369,1367.0,574,LABORATÓRIO DE LÍNGUA JAPONESA
02,2022.2,YUKO TAKANO (210h),7M12345  7T234  4N34 6N1234,10,20,ICC,LET0371,1368.0,574,ESTÁGIO SUPERVISIONADO DE JAPONÊS 1
01,2022.2,ANGELICA LOUISE DE SOUZA ALENCAR (60h),7N1234,1,5,ICC AT 144/9,LET0373,1369.0,574,TRABALHO DE CONCLUSÃO DE CURSO
02,2022.2,FAUSTO PINHEIRO PEREIRA (60h),7N1234,2,5,ICC AT 144/8,LET0373,1369.0,574,TRABALHO DE CONCLUSÃO DE CURSO
03,2022.2,YUKI MUKAI (60h),7N1234,0,5,PJC BT 069,LET0373,1369.0,574,TRABALHO DE CONCLUSÃO DE CURSO
04,2022.2,KIMIKO UCHIGASAKI PINHEIRO (60h),7N1234,2,5,PJC BT 044,LET0373,1369.0,574,TRABALHO DE CONCLUSÃO DE CURSO
05,2022.2,YUKO TAKANO (60h),7N1234,1,5,ICC AT 133/7,LET0373,1369.0,574,TRABALHO DE CONCLUSÃO DE CURSO
06,2022.2,KAORU TANAKA DE LIRA FERREIRA (60h),7N1234,1,5,ICC AT 121/7,LET0373,1369.0,574,TRABALHO DE CONCLUSÃO DE CURSO
07,2022.2,KYOKO SEKINO (60h),7N1234,3,5,ICC AT 114/7,LET0373,1369.0,574,TRABALHO DE CONCLUSÃO DE CURSO
08,2022.2,ALICE TAMIE JOKO (60h),7N1234,0,15,ICC AT 082,LET0373,1369.0,574,TRABALHO DE CONCLUSÃO DE CURSO
01,2022.2,YUKI MUKAI (210h),7M12345  7T234  2N12 6N1234,9,25,,LET0375,1370.0,574,ESTÁGIO SUPERVISIONADO EM JAPONÊS 2
01,2022.2,ANA CRISTINA BALESTRO (60h),24M12,21,22,ICC AT- 175/8,LET0376,1371.0,574,LINGUA CHINESA 1
02,2022.2,RENZO EMÍLSON BRAGA JÚNIOR (60h),35M12,22,22,Presencial (local a definir),LET0376,1371.0,574,LINGUA CHINESA 1
03,2022.2,ANA CRISTINA BALESTRO (60h),24M34,17,22,2ª - BSA S B1 19/10 (68) e 4ª - ICC BT 552 (50),LET0376,1371.0,574,LINGUA CHINESA 1
04,2022.2,RENZO EMÍLSON BRAGA JÚNIOR (60h),35M34,22,23,Presencial (local a definir),LET0376,1371.0,574,LINGUA CHINESA 1
05,2022.2,RENZO EMÍLSON BRAGA JÚNIOR (60h),24M12,20,20,a definir,LET0376,1371.0,574,LINGUA CHINESA 1
01,2022.2,Xiaojuan Lu (60h),24M5  24T1,14,20,BSA S BT 11/13,LET0377,1372.0,574,LÍNGUA CHINESA 2
02,2022.2,Xiaojuan Lu (60h),35M5  35T1,11,20,ICC BT 027 (55),LET0377,1372.0,574,LÍNGUA CHINESA 2
02,2022.2,RENZO EMÍLSON BRAGA JÚNIOR (60h),24M5  24T1,11,20,a definir,LET0378,1373.0,574,LINGUA CHINESA 3
01,2022.2,ANDREINA DI VITTORI (60h),24M34,2,30,a definir,LET0379,1374.0,574,LINGUA ITALIANA 3
